"function_name","file","parameters"
"simulate_bulk_mixture","02_01_toy_simulation.R","signature_matrix, Sigma, p, n"
"benchmark_deconvolution_algorithms_two_genes","02_01_toy_simulation.R","proportions, signature_matrices, corr_sequence, diagonal_terms, deconvolution_functions, n, scaled, cores"
"generate_mean_profiles","02_02_generate_synthetic_networks.R","n_expressed_genes, mean_lower_expressed, mean_upper_expressed, mean_lower_background, mean_upper_background, child_perturbation_sd, gene_names, parent_names, child_names"
"compute_marginal_variances","02_02_generate_synthetic_networks.R","mean_matrix, library_size, alpha"
"generate_random_network_skeleton","02_02_generate_synthetic_networks.R","n_genes, graph_model, graph_params"
"build_normalised_precision","02_02_generate_synthetic_networks.R","adjacency_matrix, precision_shift, precision_scale"
"build_precision_matrix","02_02_generate_synthetic_networks.R","normalised_precision, variance_matrix, population_names, gene_names"
"simulate_hierarchical_grn_moments","02_02_generate_synthetic_networks.R","n_expressed_genes, mean_lower_expressed, mean_upper_expressed, mean_lower_background, mean_upper_background, library_size, alpha, precision_shift, precision_scale, child_perturbation_sd, graph_model, graph_params"
"deconvolute_ratios_CIBERSORT","03_01_first_generation_deconvolution.R","y, mean_signature_matrix, true_ratios"
"deconvolute_ratios_abbas","03_01_first_generation_deconvolution.R","y, mean_signature_matrix, true_ratios"
"deconvolute_ratios_monaco","03_01_first_generation_deconvolution.R","y, mean_signature_matrix, true_ratios"
"deconvolute_ratios_nnls","03_01_first_generation_deconvolution.R","y, mean_signature_matrix, true_ratios"
"deconvolute_ratios_deconRNASeq","03_01_first_generation_deconvolution.R","y, mean_signature_matrix, true_ratios"
"mapping_function","03_03_DeCovarT.R","theta"
"inverse_mapping_function","03_03_DeCovarT.R","p"
".maha_distance","03_03_DeCovarT.R","mean_signature_matrix, A"
".dot_product","03_03_DeCovarT.R","mean_signature_matrix, A, y"
".compute_global_variance","03_03_DeCovarT.R","p, Sigma"
"loglik_multivariate","03_03_DeCovarT.R","p, y, mean_signature_matrix, Sigma"
"loglik_multivariate_constrained","03_03_DeCovarT.R","theta, y, mean_signature_matrix, Sigma"
"jacobian_mapping_function","03_03_DeCovarT.R","theta"
"gradient_loglik_unconstrained","03_03_DeCovarT.R","p, y, mean_signature_matrix, Sigma"
"gradient_loglik_constrained","03_03_DeCovarT.R","theta, y, mean_signature_matrix, Sigma"
"hessian_mapping_function","03_03_DeCovarT.R","theta"
"hessian_loglik_unconstrained","03_03_DeCovarT.R","p, y, mean_signature_matrix, Sigma"
"hessian_loglik_constrained","03_03_DeCovarT.R","theta, y, mean_signature_matrix, Sigma"
"deconvolute_ratios_Marquardt_Levenberg","03_03_DeCovarT.R","y, mean_signature_matrix, Sigma, true_ratios, epsilon, itmax"
"deconvolute_ratios_simulated_annealing","03_03_DeCovarT.R","y, mean_signature_matrix, Sigma, true_ratios, epsilon, itmax"
"deconvolute_ratios_LBFGS","03_03_DeCovarT.R","y, mean_signature_matrix, Sigma, true_ratios, epsilon, itmax"
"deconvolute_ratios_constrOptim","03_03_DeCovarT.R","y, mean_signature_matrix, Sigma, true_ratios, epsilon, itmax"
"deconvolute_ratios_Newton_Raphson","03_03_DeCovarT.R","y, mean_signature_matrix, Sigma, true_ratios, epsilon, itmax"
"deconvolute_ratios_gradient_descent","03_03_DeCovarT.R","y, mean_signature_matrix, Sigma, true_ratios, epsilon, itmax"
".map_gaussian_convolution","03_03_DeCovarT.R","y, mean_signature_matrix, Sigma"
"compute_benchmark_metrics","04_01_benchmark_ground_truths.R","y, mean_signature_matrix, estimated_p, true_ratios"
"deconvolute_ratios","04_01_benchmark_ground_truths.R","signature_matrix, bulk_expression, true_ratios, Sigma, deconvolution_functions, scaled, cores"
"plot_correlation_Heatmap","04_visualisation.R","distribution_metrics, score_variable, n_break, uni_scale"
"enforce_identifiability","utils.R","p"
"enforce_parameter_identifiability","utils.R","theta"
"check_parameters","utils.R","p"
"is_positive_definite","utils.R","expression, tol"
"tr","utils.R","A"
"compute_shannon_entropy","utils.R","ratios"
"hellinger","utils.R","mu1, Sigma1, mu2, Sigma2"
"hellinger_average","utils.R","p, signature_matrix, cov_matrix"
"compute_average_overlap","utils.R","true_theta, k"
