"function_name","file","parameters"
"simulate_bulk_mixture","02_01_toy_simulation.R","signature_matrix, Sigma, p, n"
"benchmark_bivariate_gaussian_convolutions","02_01_toy_simulation.R","proportions, signature_matrices, corr_sequence, diagonal_terms, deconvolution_functions, n, scaled, cores"
"compute_mean_profile_objectives","02_02_generate_synthetic_networks.R","mean_signature_matrix"
"generate_mean_signature_matrix","02_02_generate_synthetic_networks.R","n_genes, n_celltypes, mean_scale, target_cosine, gene_names, celltype_names"
"generate_random_network_skeleton","02_02_generate_synthetic_networks.R","n_genes, graph_model, graph_params"
"assign_iid_signed_weights","02_02_generate_synthetic_networks.R","adjacency_matrix, prop_inhibitory, weight_magnitude"
"build_normalised_precision","02_02_generate_synthetic_networks.R","weighted_adjacency, precision_shift"
"build_covariance_array_from_precision","02_02_generate_synthetic_networks.R","precision_array"
"simulate_hierarchical_grn_moments","02_02_generate_synthetic_networks.R","n_genes, n_celltypes, mean_scale, target_cosine, precision_shift, precision_scale, prop_inhibitory, graph_model, graph_params, adjacency"
"deconvolute_ratios_cibersort","03_01_first_generation_deconvolution.R","y, mean_signature_matrix"
"deconvolute_ratios_lsfit","03_01_first_generation_deconvolution.R","y, mean_signature_matrix"
"deconvolute_ratios_rlm","03_01_first_generation_deconvolution.R","y, mean_signature_matrix"
"deconvolute_ratios_nnls","03_01_first_generation_deconvolution.R","y, mean_signature_matrix"
"deconvolute_ratios_deconrnaseq","03_01_first_generation_deconvolution.R","y, mean_signature_matrix"
"additive_logistic","03_03_DeCovarT_estimate_ratios_frequentist.R","rho"
"additive_log_ratio","03_03_DeCovarT_estimate_ratios_frequentist.R","p"
".bilinear_form","03_03_DeCovarT_estimate_ratios_frequentist.R","x, A, y"
".squared_mahalanobis_distance","03_03_DeCovarT_estimate_ratios_frequentist.R","x, center, covariance"
".compute_global_variance","03_03_DeCovarT_estimate_ratios_frequentist.R","p, Sigma"
"loglik_multivariate","03_03_DeCovarT_estimate_ratios_frequentist.R","p, y, mean_signature_matrix, Sigma"
"loglik_multivariate_constrained","03_03_DeCovarT_estimate_ratios_frequentist.R","rho, y, mean_signature_matrix, Sigma"
"jacobian_additive_logistic","03_03_DeCovarT_estimate_ratios_frequentist.R","rho"
"gradient_loglik_unconstrained","03_03_DeCovarT_estimate_ratios_frequentist.R","p, y, mean_signature_matrix, Sigma"
"gradient_loglik_constrained","03_03_DeCovarT_estimate_ratios_frequentist.R","rho, y, mean_signature_matrix, Sigma"
"hessian_additive_logistic","03_03_DeCovarT_estimate_ratios_frequentist.R","rho"
"hessian_loglik_unconstrained","03_03_DeCovarT_estimate_ratios_frequentist.R","p, y, mean_signature_matrix, Sigma"
"hessian_loglik_constrained","03_03_DeCovarT_estimate_ratios_frequentist.R","rho, y, mean_signature_matrix, Sigma"
"deconvolute_ratios_Marquardt_Levenberg","03_03_DeCovarT_estimate_ratios_frequentist.R","y, mean_signature_matrix, Sigma, epsilon, itmax"
"deconvolute_ratios_simulated_annealing","03_03_DeCovarT_estimate_ratios_frequentist.R","y, mean_signature_matrix, Sigma, epsilon, itmax"
"deconvolute_ratios_L_BFGS_B","03_03_DeCovarT_estimate_ratios_frequentist.R","y, mean_signature_matrix, Sigma, epsilon, itmax"
"deconvolute_ratios_Newton_Raphson","03_03_DeCovarT_estimate_ratios_frequentist.R","y, mean_signature_matrix, Sigma, epsilon, itmax"
"deconvolute_ratios_gradient_descent","03_03_DeCovarT_estimate_ratios_frequentist.R","y, mean_signature_matrix, Sigma, epsilon, itmax"
".map_gaussian_convolution","03_04_DeCovarT_estimate_CTS_MAP_Bayesian.R","y, mean_signature_matrix, Sigma"
"check_true_theta","04_01_run_benchmark.R","true_theta, require_p, J, second_moment"
".parse_true_theta","04_01_run_benchmark.R","true_theta, require_p, J, second_moment"
"compute_benchmark_metrics","04_01_run_benchmark.R","y, mean_signature_matrix, estimated_p, true_ratios"
"deconvolute_ratios","04_01_run_benchmark.R","signature_matrix, bulk_expression, true_ratios, Sigma, deconvolution_functions, scaled, cores"
"plot_correlation_Heatmap","04_02_benchmark_visualisation.R","distribution_metrics, score_variable, n_break, uni_scale"
"repair_simplex","statistical_metrics.R","p, tolerance"
"compute_shannon_entropy","statistical_metrics.R","ratios"
"compute_average_overlap","statistical_metrics.R","true_theta, J"
"compute_glmnet_gene_scores","statistical_metrics.R","expression_profiles, celltype_labels, alpha, lambda, ..."
".jeffreys_gaussian","statistical_metrics.R","mu_j, mu_l, sigma_j, sigma_l"
"compute_average_jeffreys","statistical_metrics.R","true_theta, J"
